product_id,catalog_number
2171888,533365
2171887,533238
2171886,532022
2171885,528946
2171884,527539
2171883,524213
2171882,523854
2171881,517204
2171878,515945
2171877,515684
2171876,512533
2171875,511134
2171874,509993
2171873,294680
2171871,294640
2171870,294600
2171869,294560
2171868,294520
2171867,294480
2171865,294440
2171864,294400
2171863,294380
2171862,294360
2171861,294340
2171860,294320
2171859,294300
2171858,294280
2171856,294260
2171855,294240
2171854,294220
2171853,294200
2171852,294180
2171851,294170
2171850,294160
2171849,294150
2171848,294140
2171847,294130
2171845,294120
2171844,293640
2171843,293600
2171842,293560
2171841,293520
2171840,293480
2171839,293440
2171838,293400
2171837,293380
2171836,293360
2171835,293340
2171834,293320
2171833,293300
2171832,293280
2171831,293260
2171829,293240
2171828,293220
2171827,293200
2171826,293180
2171825,293170
2171824,241640
2171823,241600
2171822,241560
2171821,241520
2171820,241480
2171819,241440
2171818,241400
2171817,241380
2171815,241360
2171814,241340
2171813,241320
2171812,241300
2171811,241280
2171810,241260
2171809,241240
2171808,241220
2171807,240600
2171806,240560
2171805,240520
2171804,240480
2171803,240440
2171802,240400
2171799,240380
2171798,240360
2171797,240340
2171796,240320
2171795,240300
2171794,240280
2171793,240260
2171791,240240
2171790,232480
2171789,232440
2171788,232400
2171787,232380
2171786,231560
2171785,231520
2171784,231480
2171783,231440
2171782,231400
2171780,230600
2171779,230560
2171778,230520
2171777,230480
2171776,230440
2171775,223440
2171772,223400
2171771,223380
2171770,223360
2171766,223340
2171765,223320
2171764,223300
2171763,223280
2171762,223260
2171760,223240
2171759,223220
2171758,223200
2171757,223190
2171756,223180
2171755,223170
2171754,223160
2171752,223150
2171751,223140
2171750,223130
2171749,223120
2171748,223110
2171747,223100
2171746,223090
2171745,223080
2171744,222440
2171743,222400
2171742,222380
2171741,222360
2171740,222340
2171739,222320
2171738,222300
2171737,222280
2171734,222260
2171733,222240
2171732,222220
2171731,222200
2171730,222190
2171729,222180
2171728,222170
2171725,222150
2171724,222140
2171723,222130
2171722,222120
2171721,222110
2171720,222100
2171719,222090
2171718,222080
2171717,222070
2171715,222060
2171713,222050
2171712,213170
2171711,213160
2171710,213150
2171709,213130
2171708,213120
2171707,213100
2171706,213090
2171705,213080
2171704,6988
2171703,6984
2171702,6980
2171701,61938
2171700,61936
2171699,61934
2171698,61928
2171697,61922
2171695,61920
2171693,61918
2171692,61917
2171681,54411
2171680,54410
2171668,54226
2171652,53409
2171650,53408
2171649,53407
2171648,53406
2171647,53405
2171602,52411
2171601,52410
2171600,52409
2171599,52408
2171598,52407
2171596,52406
2171429,20240K.MB.C3
2171406,23292.80845
2171405,23260.80845
2171404,23244.80894
2171403,23184.80491
2171402,23072.80856
2171401,23064.80866
2171341,6207.527667
217898,1307-TVH-C3
217798,ARCA.GREASE.TEMP90.400G
217298,2219M.C3
