id,catalog_number,description
6318871,P205,FYH P205 Light Pillow Block Bearing Housing
6283440,UCSF208H1S6,FYH Bearing UCSF208H1S6 Housing and Bearing Assembly
6152888,UCP31239,"FYH UCP31239 2-7/16\"" Bore 3-11/32\"" Base to Center Height Set Screw Mount Ball Bearing Relubricatable Cast Iron Single Lip Contact Non-Expansion 2 Bolt Pillow Block"
6101469,NA 207 20 L3,FYH NA 207 20 L3 Pillow Block
6041227,T 211 JE,FYH T 211 JE FYH with Y-bearing unit and belt tensioner
6035827,UC21548,FYH UC21548 Spherical Insert Bearing
6035824,UCP21548,FYH UCP21548 Mounted Units & Inserts
5829735,SF212H1,FYH Bearing SF212H1 Stainless Steel Housing
5789724,NA208 24LT3,FYH Bearing NA208 24LT3
2501744,USP006S6,FYH USP006S6 30MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501743,USP005S6,FYH USP005S6 25MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501742,USP004S6,FYH USP004S6 20MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501741,USP003S6,FYH USP003S6 17MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501740,USP002S6,FYH USP002S6 15MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501739,USP001S6,FYH USP001S6 12MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501738,USP000S6,FYH USP000S6 10MM STAINLESS LIGHT DUTY PILLOW BLOCK
2501737,USFL006S6,FYH USFL006S6 30MM STAINLESS STEEL UNIT
2501736,USFL005S6,FYH USFL005S6 25MM STAINLESS STEEL UNIT
2501735,USFL004S6,FYH USFL004S6 20MM STAINLESS STEEL UNIT
2501734,USFL003S6,FYH USFL003S6 17MM STAINLESS STEEL UNIT
2501733,USFL002S6,FYH USFL002S6 15MM STAINLESS STEEL UNIT
2501732,USFL001S6,FYH USFL001S6 12MM STAINLESS STEEL UNIT
2501731,USFL000S6,FYH USFL000S6 10MM STAINLESS STEEL UNIT
2501730,UP006CD,FYH UP006CD 30MM LD PB W/ OPEN AND CLOSED COVER
2501729,UP006CC,FYH UP006CC 30MM LD PB W/ OPEN COVER IN BOTH SIDES
2501728,UP006,FYH UP006 30MM ULTRA LD SS PILLOW BLOCK (6900)
2501727,UP005,FYH UP005 25MM ULTRA LD SS PILLOW BLOCK (6900)
2501726,UP004,FYH UP004 20MM ULTRA LD SS PILLOW BLOCK (6900)
2501725,UP003,FYH UP003 17MM ULTRA LD SS PILLOW BLOCK (6900)
2501724,UP002,FYH UP002 15MM ULTRA LD SS PILLOW BLOCK (6900)
2501723,UP001,FYH UP001 12MM ULTRA LD SS PILLOW BLOCK (6900)
2501722,UP000,FYH UP000 10MM ULTRA LD SS PILLOW BLOCK (6900)
2501721,UKTX17E,FYH UKTX17E MD TB ADA TAK-UP UNIT 2(7/815/16)3 75M
2501720,UKTX16E,FYH UKTX16E MD TB ADA TAKE-UP UNIT 2(3/4) 70MM
2501719,UKTX15E,FYH UKTX15E MD TB ADA TAKE-UP UNIT 2 1/2 2 5/8 65M
2501718,UKTX13E,FYH UKTX13E MD TB ADA TAK-UP UNT 2(3/161/43/8)60MM
2501717,UKTX12E,FYH UKTX12E MD TB ADA TAKE-UP UNIT 2 1/8 55MM
2501716,UKTX11E,FYH UKTX11E MD TB ADA TAKE-UO UNIT 1(7/815/16)250M
2501715,UKTX10E,FYH UKTX10E MD TB ADA TAKE-UP UNIT 1(11/163/4) 45MM
2501714,UKTX09E,FYH UKTX09E MD TB ADA TAKE-UP UNT 1(7/161/25/8)45M
2501713,UKTX08E,FYH UKTX08E MD TB ADA TAKE-UP UNIT 1(1/43/8) 35MM
2501712,UKTX07E,FYH UKTX07E MD TB ADA TAKE-UP UNIT 1(1/83/16) 30MM
2501711,UKTX06E,FYH UKTX06E MD TB ADA TAKE-UP UNIT 7/815/16 1 25M
2501710,UKTX05E,FYH UKTX05E MD TB ADA TAKE-UP UNIT 3/4 20MM
2501709,UKTRS205E,FYH UKTRS205E ND SS NARROW TAKE-UP TAKE-UP
2501708,UKT316E3E3,FYH UKT316E3E3 HD TB ADA TAKE-UP MACHINED BOTH SIDES
2501707,UKT217JN2,FYH UKT217JN2 3in N/D TAPERED BORE 90 DEGREE
2501706,UKT217J,FYH UKT217J ND TB ADPTR UNIT *INTftL STYLE*
2501705,UKT217E,FYH UKT217E ND TB TAKE-UP ADPTR 2 15/16 3 75MM
2501704,UKT216E,FYH UKT216E ND TB TAKE-UP ADRTR 2(11/163/4) 70MM
2501703,UKT215E,FYH UKT215E ND TB TAKE-UP ADPTR 2(7/161/2) 65MM
2501702,UKT213E,FYH UKT213E ND TB TAKE-UP ADPTR 2(3/161/43/8) 60MM
2501701,UKT212E,FYH UKT212E ND TB TAKE-UP SDPTR 2 1/8 55MM
2501700,UKT211JN2,FYH UKT211JN2 ND TB TAKE UP (ADAPTOR) 90 DEGREE ZERK
2501699,UKT211J,FYH UKT211J ND TB TAKE UP (ADAPTOR)
2501698,UKT211ENP,FYH UKT211ENP ND TAKE-UP NICKEL PLATED 1(7/815/16)2 50MM
2501697,UKT211EN2,FYH UKT211EN2 ND TB TAKE UP (ADAPTOR) WITH 90 DEG.ZERK
2501696,UKT211E3,FYH UKT211E3 UKT 211 MACHINED/TAP FOR COVER
