ððBrand,product_id,catalog_number,description,image
Stearns,2141716,812240100,STEARNS 812240100 SEAL-MTR-.33 SPG RBR/5.5 8036878,
Stearns,2141717,812250100,STEARNS 812250100 GSKT-MTR-.03NEO/6.5OD-BLK 8036879,
Stearns,2141718,812260100,STEARNS 812260100 GSKT-MTR-.06 RBR/15.94 OD 8036880,
Stearns,2141719,812280100,STEARNS 812280100 GSKT-MTR-.06 RBR/8.5 OD 8022054,
Stearns,2141720,812620501,STEARNS 812620501 SUP PLDI-NAVY PAINT 8022071,
Stearns,2141721,812666206,STEARNS 812666206 SUP PLDI-NAVY PAINT 8036920,
Stearns,2141722,812820201,STEARNS 812820201 MTG STUD-REL SW ACT 8036946,
Stearns,2141723,812831000,STEARNS 812831000 DNR-STUD SPACER 124232,
Stearns,2141724,812850500,STEARNS 812850500 MTG STUDSTNLPL-2.679 LG 8036959,
Stearns,2141725,812850800,STEARNS 812850800 SPR STUDCLINCH- FUCHSIA 8036962,
Stearns,2141726,812870400,STEARNS 812870400 ACTUATOR ROD-LVR ARM-8700 8070282,
Stearns,2141727,813120100,STEARNS 813120100 PIVOT PINSTNL-SOL LEVER 8022080,
Stearns,2141728,813140300,STEARNS 813140300 PIVOT PINSTNL-LVR-48000 8036969,
Stearns,2141729,813160100,STEARNS 813160100 PIVOT PINSTNL-SOL LEVERS 8036970,
Stearns,2141730,813250100,STEARNS 813250100 DNR-MS RH#10-24X5/8 W/NY 8022082,
Stearns,2141731,813270100,STEARNS 813270100 MS RH #10-24 X 1/2 W/NY 8036972,
Stearns,2141732,813400102,STEARNS 813400102 SPACER-PRESS SPR7/8 LG 8036980,
Stearns,2141733,813400103,STEARNS 813400103 SPACER-PRESS SPR1^ LG 8022085,
Stearns,2141734,813400105,STEARNS 813400105 SPACER-PRESS SPR1-1/4 LG 8036982,
Stearns,2141735,813470200,STEARNS 813470200 WSHR-PRESS SPR1/16 THK 8036984,
Stearns,2141736,813470301,STEARNS 813470301 WSHR-PRESS SPR.06 TK-PLS 8036986,
Stearns,2141737,813820100,STEARNS 813820100 BR SPACER .531ID X.0571TK 8022090,
Stearns,2141738,813820200,STEARNS 813820200 WASHERSOL MTG-3/32 PL ST 8022091,
Stearns,2141739,813820500,STEARNS 813820500 SPACERVERT MTG-.010 BR 8022092,
Stearns,2141740,813820600,STEARNS 813820600 SPACERVERT MTG-.015 STNL 8022093,
Stearns,2141741,813820700,STEARNS 813820700 SPACERVERT MTG-.010 BR 8036991,
Stearns,2141742,813820800,STEARNS 813820800 SPACERVERT MTG-.015 STNL 8036992,
Stearns,2141743,813860100,STEARNS 813860100 SPACERVERT MTG-.028 BR 8036994,
Stearns,2141744,813870100,STEARNS 813870100 WASHER-13/32 ID X 1/16 BR 8036995,
Stearns,2141745,813870300,STEARNS 813870300 SPACERVERT MTG-.021 STL 8036998,
Stearns,2141746,813870301,STEARNS 813870301 SPACERVERT MTG-.021 PLS 8036999,
Stearns,2141747,813900513,STEARNS 813900513 LDW-#18CL ABLACK-36^ LG 8022094,
Stearns,2141748,813900514,STEARNS 813900514 LDW-#18CL AYELLOW-24^LG 8022095,
Stearns,2141749,813900515,STEARNS 813900515 LDW-#18CL AYELL0W-36^LG 8037031,
Stearns,2141750,813905920,STEARNS 813905920 LDW-#18CL YELLOW-48^ LG 8094482,
Stearns,2141751,813906656,STEARNS 813906656 LDW-#18CL BRED-B1-37^LG 8018323,
Stearns,2141752,813906657,STEARNS 813906657 LDW-#18CL BRED-B2-37^LG 8018325,
Stearns,2141753,813906658,STEARNS 813906658 LDW-#18CLBBLK-BI1-37^LG 8018327,
Stearns,2141754,813906659,STEARNS 813906659 LDW-#18CLBBLK-BI2-37^LG 8018329,
Stearns,2141755,813906660,STEARNS 813906660 LDW-#18CLBYEL-BH1-37^LG 8018331,
Stearns,2141756,813906661,STEARNS 813906661 LDW-#18CLBYEL-BH2-37^LG 8018333,
Stearns,2141757,813907801,STEARNS 813907801 LDW-#18CL BREDB1-24.9^ 215705,
Stearns,2141758,813907802,STEARNS 813907802 LDW-#18CL BREDB2-25.4^ 215706,
Stearns,2141759,813907803,STEARNS 813907803 LDW-#18CL BBLKB3-24.9^ 215707,
Stearns,2141760,813907804,STEARNS 813907804 LDW-#18CL BBLKB4-25.4^ 215708,
Stearns,2141761,814000206,STEARNS 814000206 LDW BUSHPHEN-.38 IDX 1.4 8022097,
Stearns,2141762,814000208,STEARNS 814000208 LDW BUSHPHEN-.38 ID X 2^ 8022098,
Stearns,2141763,814000210,STEARNS 814000210 LDW BUSHPHEN-.38 IDX 2.8 8022099,
Stearns,2141764,814000211,STEARNS 814000211 LDW BUSHPHEN-.38 IDX 3.5 8022100,
Stearns,2141765,814000213,STEARNS 814000213 LDW BUSHPHEN-.38 IDX 4.8 8022101,
Stearns,2141766,814000302,STEARNS 814000302 LDW BUSHPHEN-.38 IDX .75 8037148,
Stearns,2141767,814000314,STEARNS 814000314 LDW BUSHPHEN-.38 IDX4.63 8037149,
Stearns,2141768,814001600,STEARNS 814001600 LDW BUSHRBR-W/ 2 HOLES 8022102,
Stearns,2141769,814060200,STEARNS 814060200 LDW BUSHFBR-3/8 ID X 4.4 8022104,
Stearns,2141770,814110100,STEARNS 814110100 SPACERWRAP SPR-#20 GAPS 8037164,
Stearns,2141771,814110200,STEARNS 814110200 SPACERBRG-2.37 ID X 1.5 8037165,
Stearns,2141772,814120200,STEARNS 814120200 SPACERWRP SPR SLV-.06 TK 8037166,
Stearns,2141773,814120400,STEARNS 814120400 SPACERVERT MTG-.015 STNL 8022105,
Stearns,2141774,814121000,STEARNS 814121000 SPACERSOL CONV-5/32 THK 8037168,
Stearns,2141775,814140400,STEARNS 814140400 SPACERDELRIN-.025 THK 8037175,
Stearns,2141776,814160400,STEARNS 814160400 SPACERPP -1.25OD X .75LG 8099649,
Stearns,2141777,814170100,STEARNS 814170100 SPACERBRG-1.38 ID X .375 8022106,
Stearns,2141778,814170600,STEARNS 814170600 SPACERD/M REL ROD-1/2 LG 8037179,
Stearns,2141779,814170700,STEARNS 814170700 SPACERSIDE REL PL-.78 LG 8037180,
Stearns,2141780,814240100,STEARNS 814240100 CONDUIT BRKT-W/ 7/8 HOLE 8037183,
Stearns,2141781,814240200,STEARNS 814240200 CONDUIT BRACKET 8037184,
Stearns,2141782,814270100,STEARNS 814270100 CONDUIT BRKT-W/ 7/8 HOLE 8022107,
Stearns,2141783,814610400,STEARNS 814610400 REL ROD-FLEX LINK-UL 8037188,
Stearns,2141784,814610500,STEARNS 814610500 REL ROD EXT-FLEX LINK-UL 8037190,
Stearns,2141785,814620100,STEARNS 814620100 REL ROD-STD RH-W/ FIN 8037192,
Stearns,2141786,814620101,STEARNS 814620101 REL ROD-SPEC INT-W/ FIN 8022118,
Stearns,2141787,814620200,STEARNS 814620200 REL ROD316 STNL-STD RH 8037194,
Stearns,2141788,814620300,STEARNS 814620300 REL ROD303 STNL-STD RH 8037195,
Stearns,2141789,814620301,STEARNS 814620301 REL RODSTNL-DEAD MANRH 8037196,
Stearns,2141790,814666300,STEARNS 814666300 REL ROD303 STNL-STD LH 8022120,
Stearns,2141791,814666301,STEARNS 814666301 REL RODSTNL-DEAD MANLH 8037202,
Stearns,2141792,814670101,STEARNS 814670101 REL ARMSTL-UL-W/ FIN 8022121,
Stearns,2141793,814670200,STEARNS 814670200 REL ROD-CI SUP PL-W/ FIN 8037204,
Stearns,2141794,814670800,STEARNS 814670800 REL ROD303 STNL-DI SUP P 8037208,
Stearns,2141795,814670900,STEARNS 814670900 REL ROD-ALUM SUP PL-STD 8037209,
Stearns,2141796,814670902,STEARNS 814670902 REL ROD-AL SUP PL-SPC INT 8022122,
Stearns,2141797,814671300,STEARNS 814671300 REL ARMSTL-SIDE REL 8037212,
Stearns,2141798,814680300,STEARNS 814680300 PUSH RODSTNL-PLGR-NMA80 8037218,
Stearns,2141799,814720200,STEARNS 814720200 GROMMETBLK RBR-IMPCK MTG 8022123,
Stearns,2141800,814770200,STEARNS 814770200 GROMMETBLACK RBR-REL ROD 8040099,
Stearns,2141801,814810200,STEARNS 814810200 REL HANDLE-SIDE REL 8022124,
Stearns,2141802,814810300,STEARNS 814810300 RELEASE HANDLE-FULL REL 8096440,
Stearns,2141803,814810400,STEARNS 814810400 RELEASE HANDLE-FULL S/REL 8066665,
Stearns,2141804,814810500,STEARNS 814810500 REL HANDLE-FULL S/RELSPL 130801,
Stearns,2141805,814840300,STEARNS 814840300 REL LEVERPLASTIC 8037227,
Stearns,2141806,814840502,STEARNS 814840502 MAN REL LVRW/PULLER HOLE 8046544,
Stearns,2141807,814840600,STEARNS 814840600 MAN REL LEVERW/FINISH 8088060,
Stearns,2141808,814850500,STEARNS 814850500 REL HANDLESIDE REL-W/FIN 8022125,
Stearns,2141809,814852100,STEARNS 814852100 REL KNOBPLASTIC/PIN HOLE 130465,
Stearns,2141810,814852500,STEARNS 814852500 REL HANDLES/R-STNL-W/FIN 8005574,
Stearns,2141811,814855900,STEARNS 814855900 MAN.REL.LEVERW/FINISH 8066311,
Stearns,2141812,814870300,STEARNS 814870300 REL KNOBPLASTIC#10-24 8037240,
Stearns,2141813,814871200,STEARNS 814871200 RELEASE LEVER-SIDE MANUAL 8037244,
Stearns,2141814,814871500,STEARNS 814871500 REL KNOBPLAST^T^#10-24 8017132,
Stearns,2141815,814880400,STEARNS 814880400 REL HANDLEPLASTIC1/4-20 8022130,
Stearns,2141816,815051301,STEARNS 815051301 HSG STUD-CLINCH-CHARTREUS 8022148,
Stearns,2141817,815070600,STEARNS 815070600 HSG STUD-FORMED W/ HEX-87 8037273,
Stearns,2141818,815071200,STEARNS 815071200 HSG STUD-WRAP HSG-END PL 8022150,
Stearns,2141819,815071300,STEARNS 815071300 HSG STUD-WRAP HSG-SUP PL 8022151,
Stearns,2141820,815072000,STEARNS 815072000 SPRING STUD 58000 8047670,
Stearns,2141821,815220100,STEARNS 815220100 STUD-PRESS SPR-W/ FIN 8022152,
Stearns,2141822,815270301,STEARNS 815270301 STUD-PRESS SPR-W/FIN-NAVY 8037277,
Stearns,2141823,815651000,STEARNS 815651000 REL LEVER-KNOB REL-W/FIN 8088865,
Stearns,2141824,815750800,STEARNS 815750800 CS-LINK-#4 SOL#8-32UNR 8095576,
Stearns,2141825,815770200,STEARNS 815770200 CS-LINK-#6 SOL1/4-20 8037291,
Stearns,2141826,815770300,STEARNS 815770300 CS-LINK-#8&#9 SOL3/8-16 8037292,
Stearns,2141827,815910200,STEARNS 815910200 BRACKET-PROX SW MTG-81/82 8064675,
Stearns,2141828,816070900,STEARNS 816070900 TARGET-PROXIMITY SWITCH 8064828,
Stearns,2141829,816150100,STEARNS 816150100 STAB SPR-FRIC DISC-55 8022159,
Stearns,2141830,816150300,STEARNS 816150300 STAB-SPR-FRIC DISC-48100 8088744,
Stearns,2141831,816150500,STEARNS 816150500 STABLIZING SPRING-56X00 8095275,
Stearns,2141832,816750200,STEARNS 816750200 GSKT-HSG NUT-1/16 RUBBER 8037308,
Stearns,2141833,817010200,STEARNS 817010200 REL PL-SOL LVR-SIDE REL 8037309,
Stearns,2141834,817010401,STEARNS 817010401 REL PL-SOL LVR-FULL D/M 8037313,
Stearns,2141835,817010500,STEARNS 817010500 REL PL-SOL LVR-FULL REL 8066348,
Stearns,2141836,817020300,STEARNS 817020300 BRKT-PLGR GUIDE-VA-81/82 8037314,
Stearns,2141837,817020301,STEARNS 817020301 BRKT PLGR GUIDE-VARH-86 8037315,
