ððBrand,product_id,catalog_number,description,image
Stearns,713228,108203102046,STEARNS 108203102046 10535217 SVR-BRK-RL TACH W/ HUB,
Stearns,713232,108204102070,STEARNS 108204102070 10535421 SVR-BRK-RL TACH W/ HUB,
Stearns,1693324,596680713,STEARNS 596680713 10555415 KIT-#8 INJ COIL-120/240 V,
Stearns,1802836,903101500,STEARNS 903101500 10563887 SHAFT COLLAR-1.13X1.88X.5,
Stearns,1802838,903101700,STEARNS 903101700 10563889 SHFT COLLAR-1.63X2.63X.69,
Stearns,1957429,105603100008,STEARNS 105603100008 10530666 BRK-CENTURY GRAY PAINT,
Stearns,2124996,104815101002,STEARNS 104815101002 BRK-ODD VOLTAGE 480/60HZ 8006943,
Stearns,2125014,104816100005,STEARNS 104816100005 BRK-ODD VOLTAGE 400V@50HZ 8000351,
Stearns,2125051,104817100001,STEARNS 104817100001 BRK-ODD 208V @ 60HZ 8018726,
Stearns,2125052,104817100002,STEARNS 104817100002 BRK-ODD 10 MM BORE HUB 8030315,
Stearns,2125070,104817101001,STEARNS 104817101001 BRK-SPEC INT LDW HOLE 8096581,
Stearns,2125073,104817101005,STEARNS 104817101005 BRK-ODD 380V @ 60HZ 139846,
Stearns,2125111,105600100003,STEARNS 105600100003 BRK-DUAL FREQ 208V60/50HZ 168406,
Stearns,2125134,105600200001,STEARNS 105600200001 BRK-ODD 220/440V @ 60 HZ 8018525,
Stearns,2125233,105601100005,STEARNS 105601100005 BRK-ODD 240/480V 60HZ 8001232,
Stearns,2125234,105601100006,STEARNS 105601100006 BRK-ODD 220/440V 50HZ 8097020,
Stearns,2125236,105601100015,STEARNS 105601100015 BRK-ODD 220/440V @ 60 HZ 8039495,
Stearns,2125237,105601100017,STEARNS 105601100017 BRK-ODD VOLTAGE 480V 60HZ 8005169,
Stearns,2125238,105601100021,STEARNS 105601100021 BRK-ODD 440V @ 60 HZ 8008700,
Stearns,2125240,105601100023,STEARNS 105601100023 BRK-QUITE DUTY 8009311,
Stearns,2125241,105601100024,STEARNS 105601100024 BRK-ODD 208V@60HZ & ADAPT 8013965,
Stearns,2125242,105601100025,STEARNS 105601100025 BRK-QUITE DUTY/THRU SHAFT 8013109,
Stearns,2125243,105601100028,STEARNS 105601100028 BRK-ODD VOLTAGE 440V 50HZ 8030539,
Stearns,2125244,105601100029,STEARNS 105601100029 BRK-16MM METRIC BORE HUB 8031737,
Stearns,2125245,105601100030,STEARNS 105601100030 BRK-ODD VOLTAGE 460V 50HZ 128819,
Stearns,2125248,105601100035,STEARNS 105601100035 BRK-ODD 440V @ 50 HZ 138447,
Stearns,2125249,105601100036,STEARNS 105601100036 BRK-ODD 440V @ 50 HZ 154673,
Stearns,2125252,105601100040,STEARNS 105601100040 BRK-MALE TERMINAL&HOUSING 196423,
Stearns,2125295,105601200002,STEARNS 105601200002 BRK-W/ZINC CHROM PRIMER 8003333,
Stearns,2125296,105601200004,STEARNS 105601200004 BRK-HTRHUB (3 DISC) ASSY 8002758,
Stearns,2125297,105601200006,STEARNS 105601200006 BRK-ODD 440V 60 HZ 8003606,
Stearns,2125298,105601200008,STEARNS 105601200008 BRK-ODD COIL W/ 48^ LEADS 8014011,
Stearns,2125301,105601200011,STEARNS 105601200011 BRK-CL HW/O MAN REL KNOB 152570,
Stearns,2125302,105601200012,STEARNS 105601200012 BRK-STD. BLACK PAINT 168990,
